"","condition"
"TCGA-2H-A9GJ-01A","PrimaryTumor"
"TCGA-IG-A5B8-01A","PrimaryTumor"
"TCGA-JY-A6FB-01A","PrimaryTumor"
"TCGA-KH-A6WC-01A","PrimaryTumor"
"TCGA-L5-A4OG-01A","PrimaryTumor"
"TCGA-L5-A4OH-01A","PrimaryTumor"
"TCGA-L5-A4OM-01A","PrimaryTumor"
"TCGA-L5-A88S-01A","PrimaryTumor"
"TCGA-L5-A893-01A","PrimaryTumor"
"TCGA-V5-A7RE-01A","PrimaryTumor"
"TCGA-IC-A6RE-11A","SolidTissueNormal"
"TCGA-IC-A6RF-11A","SolidTissueNormal"
"TCGA-L5-A43C-11A","SolidTissueNormal"
"TCGA-L5-A4OF-11A","SolidTissueNormal"
"TCGA-L5-A4OG-11A","SolidTissueNormal"
"TCGA-L5-A4OJ-11A","SolidTissueNormal"
"TCGA-L5-A4OO-11A","SolidTissueNormal"
"TCGA-L5-A4OQ-11A","SolidTissueNormal"
"TCGA-L5-A4OR-11A","SolidTissueNormal"
"TCGA-V5-A7RE-11A","SolidTissueNormal"
"TCGA-V5-AASX-11A","SolidTissueNormal"
